出席,しゅっせき,to attend,,N4
腕,うで,arm,,N4
柔らかい,やわらかい,soft,,N4
もちろん,もちろん,of course,,N4
開く,ひらく,to open an event,,N4
首,くび,neck,,N4
君,くん,suffix for familiar young male,,N4
皆,みな,everybody,,N4
試合,しあい,"match,game",,N4
捕まえる,つかまえる,to seize,,N4
申し上げる,もうしあげる,"(humble) to say,to tell",,N4
ぜひ,ぜひ,without fail,,N4
押し入れ,おしいれ,closet,,N4
注意,ちゅうい,caution,,N4
アフリカ,アフリカ,Africa,,N4
やはり,やはり,"as I thought,absolutely",,N4
鳴る,なる,to sound,,N4
遠く,とおく,distant,,N4
予習,よしゅう,preparation for a lesson,,N4
髪,かみ,hair,,N4
息子,むすこ,(humble) son,,N4
痩せる,やせる,to become thin,,N4
指輪,ゆびわ,finger ring,,N4
止める,とめる,to stop something,,N4
意見,いけん,opinion,,N4
今夜,こんや,tonight,,N4
彼,かれ,"he,boyfriend",,N4
ごらんになる,ごらんになる,(respectful) to see,,N4
触る,さわる,to touch,,N4
割合,わりあい,"rate,ratio,percentage",,N4
引き出す,ひきだす,to withdraw,,N4
おもちゃ,おもちゃ,toy,,N4
出発,しゅっぱつ,to depart,,N4
見える,みえる,to be in sight,,N4
関係,かんけい,relationship,,N4
例えば,たとえば,for example,,N4
向かう,むかう,to face,,N4
ああ,ああ,like that,,N4
立てる,たてる,to stand something up,,N4
水道,すいどう,water supply,,N4
辞典,じてん,dictionary,,N4
遊び,あそび,play,,N4
光,ひかり,light,,N4
空気,くうき,"air,atmosphere",,N4
戦争,せんそう,war,,N4
食料品,しょくりょうひん,groceries,,N4
かまう,かまう,to mind,,N4
喜ぶ,よろこぶ,to be delighted,,N4
ワープロ,ワープロ,word processor,,N4
簡単,かんたん,simple,,N4
屋上,おくじょう,rooftop,,N4
入学,にゅうがく,to enter school or university,,N4
過ぎる,すぎる,to exceed,,N4
プレゼント,プレゼント,present,,N4
注射,ちゅうしゃ,injection,,N4
動く,うごく,to move,,N4
糸,いと,thread,,N4
込む,こむ,to be crowded,,N4
負ける,まける,to lose,,N4
きっと,きっと,surely,,N4
貿易,ぼうえき,trade,,N4
差し上げる,さしあげる,(polite) to give,,N4
人口,じんこう,population,,N4
沸かす,わかす,"to boil,to heat",,N4
お見舞い,おみまい,"calling on someone who is ill,enquiry",,N4
ピアノ,ピアノ,piano,,N4
ステレオ,ステレオ,stereo,,N4
天気予報,てんきよほう,weather forecast,,N4
いらっしゃる,いらっしゃる,"(respectful) to be,to come or to go",,N4
経済,けいざい,"finance,economy",,N4
周り,まわり,surroundings,,N4
驚く,おどろく,to be surprised,,N4
非常に,ひじょうに,extremely,,N4
運転手,うんてんしゅ,driver,,N4
調べる,しらべる,to investigate,,N4
なるほど,なるほど,now I understand,,N4
隅,すみ,"corner,nook",,N4
続ける,つづける,to continue,,N4
召し上がる,めしあがる,(polite) to eat,,N4
木綿,もめん,cotton,,N4
ジャム,ジャム,jam,,N4
尋ねる,たずねる,to ask,,N4
ちゃん,ちゃん,suffix for familiar female person,,N4
葡萄,ぶどう,grapes,,N4
急,きゅう,"urgent, steep",,N4
それほど,それほど,to that extent,,N4
十分,じゅうぶん,enough,,N4
サラダ,サラダ,salad,,N4
熱,ねつ,fever,,N4
起す,おこす,to wake,,N4
昼間,ひるま,"daytime,during the day",,N4
行う,おこなう,to do,,N4
あげる,あげる,to give,,N4
反対,はんたい,opposition,,N4
増える,ふえる,to increase,,N4
以上,いじょう,"more than,this is all",,N4
葉,は,leaf,,N4
味噌,みそ,bean paste,,N4
送る,おくる,to send,,N4
舟,ふね,ship,,N4
発音,はつおん,pronunciation,,N4
大分,だいぶ,greatly,,N4
お嬢さん,おじょうさん,young lady,,N4
建てる,たてる,to build,,N4
このごろ,このごろ,"these days,nowadays",,N4
ビル,ビル,building or bill,,N4
じゃま,じゃま,"hindrance,intrusion",,N4
然る,しかる,a particular,,N4
うん,うん,(informal) yes,,N4
踊り,おどり,a dance,,N4
社長,しゃちょう,company president,,N4
手袋,てぶくろ,glove,,N4
決める,きめる,to decide,,N4
暖房,だんぼう,heating,,N4
聞こえる,きこえる,to be heard,,N4
湖,みずうみ,lake,,N4
石,いし,stone,,N4
タイプ,タイプ,"type,style",,N4
会議,かいぎ,meeting,,N4
積もり,つもり,intention,,N4
どんどん,どんどん,more and more,,N4
月,つき,moon,,N4
冷房,れいぼう,air conditioning,,N4
ハンドバッグ,ハンドバッグ,handbag,,N4
程,ほど,extent,,N4
連絡,れんらく,contact,,N4
戻る,もどる,to turn back,,N4
折れる,おれる,to break or be folded,,N4
以外,いがい,with the exception of,,N4
しばらく,しばらく,little while,,N4
新聞社,しんぶんしゃ,newspaper company,,N4
贈り物,おくりもの,gift,,N4
受付,うけつけ,receipt,,N4
景色,けしき,"scene,landscape",,N4
布団,ふ���ん,"Japanese bedding, futon",,N4
謝る,あやまる,to apologize,,N4
間違える,まちがえる,to make a mistake,,N4
生活,せいかつ,to live,,N4
内,うち,within,,N4
集める,あつめる,to collect something,,N4
高等学校,こうとうがっこう,high school,,N4
規則,きそく,regulations,,N4
技術,ぎじゅつ,"art,technology,skill",,N4
下げる,さげる,"to hang,to lower,to move back",,N4
投げる,なげる,to throw or cast away,,N4
怖い,こわい,frightening,,N4
産業,さんぎょう,industry,,N4
音,おと,"sound,note",,N4
味,あじ,flavour,,N4
におい,におい,a smell,,N4
壊す,こわす,to break,,N4
研究室,けんきゅうしつ,"study room,laboratory",,N4
盛ん,さかん,"popularity,prosperous",,N4
彼ら,かれら,they,,N4
運動,うんどう,to exercise,,N4
祈る,いのる,to pray,,N4
乾く,���わく,to get dry,,N4
棚,たな,shelves,,N4
確か,たしか,definite,,N4
レジ,レジ,register,,N4
塵,ごみ,rubbish,,N4
ごちそう,ごちそう,a feast,,N4
帰り,かえり,return,,N4
おかげ,おかげ,owing to,,N4
二階建て,にかいだて,two storied,,N4
習慣,しゅうかん,"custom,manners",,N4
歯医者,はいしゃ,dentist,,N4
止む,やむ,to stop,,N4
髭,ひげ,beard,,N4
見物,けんぶつ,sightseeing,,N4
港,みなと,harbour,,N4
だから,だから,"so,therefore",,N4
変,へん,strange,,N4
心,こころ,"core,heart",,N4
寄る,よる,to visit,,N4
空く,あく,"to open, to become empty",,N4
スクリーン,スクリーン,screen,,N4
または,または,"or,otherwise",,N4
浅い,あさい,"shallow,superficial",,N4
返事,へんじ,reply,,N4
不便,ふべん,inconvenience,,N4
国際,こくさい,international,,N4
柔道,じゅうどう,judo,,N4
字,じ,character,,N4
力,ちから,"strength,power",,N4
気,き,"spirit,mood",,N4
原因,げんいん,"cause,source",,N4
怒る,おこる,"to get angry,to be angry",,N4
久しぶり,ひさしぶり,after a long time,,N4
危険,きけん,danger,,N4
包む,つつむ,to wrap,,N4
揺れる,ゆれる,"to shake,to sway",,N4
乗り物,のりもの,vehicle,,N4
集る,あつまる,to gather,,N4
小学校,しょうがっこう,elementary school,,N4
世界,せかい,the world,,N4
美しい,うつくしい,beautiful,,N4
倍,ばい,double,,N4
妻,つま,(humble) wife,,N4
電報,でんぽう,telegram,,N4
近所,きんじょ,neighbourhood,,N4
ファックス,ファックス,fax,,N4
最も,もっとも,extremely,,N4
試験,しけん,examination,,N4
忘れ物,わすれもの,lost article,,N4
冷える,ひえる,to grow cold,,N4
知らせる,しらせる,to notify,,N4
小説,しょうせつ,novel,,N4
祖父,そふ,grandfather,,N4
用,よう,use,,N4
受ける,うける,to take a lesson or test,,N4
美術館,びじゅつかん,art gallery,,N4
おっしゃる,おっしゃる,(respectful) to say,,N4
仕方,しかた,method,,N4
急ぐ,いそぐ,to hurry,,N4
アメリカ,アメリカ,America,,N4
連れる,つれる,to lead,,N4
答,こたえ,response,,N4
いただく,いただく,(humble) to receive,,N4
うれしい,うれしい,glad,,N4
焼く,やく,"to bake,to grill",,N4
講義,こうぎ,lecture,,N4
大抵,たいてい,usually,,N4
ねだん,ねだん,price,,N4
僕,ぼく,I (used by males),,N4
着物,きもの,kimono,,N4
ステーキ,ステーキ,steak,,N4
途中,とちゅう,on the way,,N4
最近,さいきん,"latest,nowadays",,N4
市,し,city,,N4
教育,きょういく,education,,N4
将来,しょうらい,"future,prospects",,N4
先輩,せんぱい,senior,,N4
止める,やめる,to stop,,N4
形,かたち,shape,,N4
森,もり,forest,,N4
アルコール,アルコール,alcohol,,N4
台風,たいふう,typhoon,,N4
進む,すすむ,to make progress,,N4
逃げる,にげる,to escape,,N4
ご存じ,ごぞんじ,"knowing,acquaintance",,N4
林,はやし,"woods,forester",,N4
旅館,りょかん,Japanese hotel,,N4
踊る,おどる,to dance,,N4
坂,さか,"slope,hill",,N4
複雑,ふくざつ,"complexity,complication",,N4
表,おもて,the front,,N4
沸く,わく,"to boil, to grow hot,to get excited",,N4
校長,こうちょう,headmaster,,N4
喉,のど,throat,,N4
科学,かがく,science,,N4
届ける,とどける,to reach,,N4
ガス,ガス,petrol,,N4
特に,とくに,"particularly,especially",,N4
自由,じゆう,freedom,,N4
正しい,ただしい,correct,,N4
迎える,むかえる,to go out to meet,,N4
太る,ふとる,to become fat,,N4
泥棒,どろぼう,thief,,N4
間,あいだ,a space,,N4
ほめる,ほめる,to praise,,N4
怪我,けが,to injure,,N4
壊れる,こわれる,to be broken,,N4
日,ひ,"day, sun",,N4
それに,それに,moreover,,N4
日記,にっき,journal,,N4
別,べつ,different,,N4
育てる,そだてる,"to rear,to bring up",,N4
用意,ようい,preparation,,N4
無理,むり,impossible,,N4
放送,ほうそう,to broadcast,,N4
競争,きょうそう,competition,,N4
中々,なかなか,considerably,,N4
店員,てんいん,shop assistant,,N4
輸出,ゆしゅつ,to export,,N4
比べる,くらべる,to compare,,N4
翻訳,ほんやく,translation,,N4
選ぶ,えらぶ,to choose,,N4
駐車場,ちゅうしゃじょう,parking lot,,N4
だめ,だめ,no good,,N4
会議室,かいぎしつ,meeting room,,N4
通る,とおる,to go through,,N4
運転,うんてん,to drive,,N4
いじめる,いじめる,to tease,,N4
急行,きゅうこう,"speedy, express",,N4
汽車,きしゃ,steam train,,N4
お礼,おれい,expression of gratitude,,N4
勝つ,かつ,to win,,N4
一杯,いっぱい,full,,N4
御主人,ごしゅじん,(honorable) your husband,,N4
苦い,にがい,bitter,,N4
落る,おちる,to fall or drop,,N4
背中,せなか,back of the body,,N4
とこや,とこや,barber,,N4
安全,あんぜん,safety,,N4
具合,ぐあい,"condition,health",,N4
説明,せつめい,explanation,,N4
君,きみ,(informal) You (used by men towards women),,N4
チェック,チェック,to check,,N4
ひどい,ひどい,awful,,N4
遠慮,えんりょ,"to be reserved, to be restrained",,N4
スーツ,スーツ,suit,,N4
植える,うえる,"to plant,to grow",,N4
大学生,だいがくせい,university student,,N4
泊まる,とまる,to lodge at,,N4
文法,ぶんぽう,grammar,,N4
寂しい,さびしい,lonely,,N4
興味,きょうみ,an interest,,N4
高校,こうこう,high school,,N4
お祝い,おいわい,congratulation,,N4
びっくり,びっくり,to be surprised,,N4
消しゴム,けしゴム,eraser,,N4
笑う,わらう,"to laugh,to smile",,N4
アクセサリー,アクセサリー,accessory,,N4
故障,こしょう,to break-down,,N4
水泳,すいえい,swimming,,N4
時代,じだい,era,,N4
下りる,おりる,to get off,,N4
到頭,とうとう,"finally, after all",,N4
通う,かよう,to commute,,N4
機会,きかい,opportunity,,N4
寺,てら,temple,,N4
全然,ぜんぜん,not entirely (used in a negative sentence),,N4
はっきり,はっきり,clearly,,N4
やっと,やっと,at last,,N4
こと,こと,"thing,matter",,N4
コンピュータ,コンピュータ,computer,,N4
乗り換える,のりかえる,to change between buses or trains,,N4
明日,あす,tomorrow,,N4
あいさつ,あいさつ,to greet,,N4
喧嘩,けんか,to quarrel,,N4
億,おく,one hundred million,,N4
エスカレーター,エスカレーター,escalator,,N4
約束,やくそく,promise,,N4
食事,しょくじ,to have a meal,,N4
生産,せいさん,to produce,,N4
枝,えだ,"branch, twig",,N4
研究,けんきゅう,research,,N4
夫,おっと,husband,,N4
警察,けいさつ,police,,N4
昔,むかし,"olden days, former",,N4
致す,いたす,(humble) to do,,N4
空港,くうこう,airport,,N4
ずいぶん,ずいぶん,extremely,,N4
気分,きぶん,mood,,N4
済む,すむ,to finish,,N4
必要,ひつよう,necessary,,N4
まじめ,まじめ,serious,,N4
客,きゃく,"guest,customer",,N4
写す,うつす,to copy or photograph,,N4
社会,しゃかい,"society,public",,N4
赤ん坊,あかんぼう,baby,,N4
そろそろ,そろそろ,"gradually,soon",,N4
斯う,こう,this way,,N4
塗る,ぬる,"to paint,to plaster",,N4
計画,けいかく,to plan,,N4
楽しみ,たのしみ,joy,,N4
拝見,はいけん,(humble) to look at,,N4
中学校,ちゅうがっこう,"junior high school,middle school",,N4
線,せん,line,,N4
西洋,せいよう,western countries,,N4
おつり,おつり,"change from purchase, balance",,N4
両方,りょうほう,both sides,,N4
嘘,うそ,a lie,,N4
すっと,すっと,"straight,all of a sudden",,N4
堅い,かたい,hard,,N4
政治,せいじ,"politics,government",,N4
さ来週,さらいしゅう,the week after next,,N4
ケーキ,ケーキ,cake,,N4
訳,わけ,"meaning,reason",,N4
郊外,こうがい,outskirts,,N4
サンダル,サンダル,sandal,,N4
予定,よてい,arrangement,,N4
席,せき,seat,,N4
申す,もうす,"(humble) to be called,to say",,N4
星,ほし,star,,N4
なるべく,なるべく,as much as possible,,N4
復習,ふくしゅう,revision,,N4
留守,るす,absence,,N4
理由,りゆう,reason,,N4
今度,こんど,"now,next time",,N4
アナウンサー,アナウンサー,announcer,,N4
ガソリンスタンド,ガソリンスタンド,petrol station,,N4
必ず,かならず,"certainly,necessarily",,N4
紹介,しょうかい,introduction,,N4
思う,おもう,"to think,to feel",,N4
光る,ひかる,"to shine,to glitter",,N4
手伝う,てつだう,to assist,,N4
毛,け,hair or fur,,N4
オートバイ,オートバイ,motorcycle,,N4
特別,とくべつ,special,,N4
考える,かんがえる,to consider,,N4
卒業,そつぎょう,graduation,,N4
会場,かいじょう,assembly hall or meeting place,,N4
娘,むすめ,(humble) daughter,,N4
落す,おとす,to drop,,N4
おかしい,おかしい,strange or funny,,N4
都合,つごう,"circumstances,convenience",,N4
家内,かない,housewife,,N4
サンドイッチ,サンドイッチ,sandwich,,N4
割れる,われる,to break,,N4
眠る,ねむる,to sleep,,N4
経験,けいけん,to experience,,N4
ガソリン,ガソリン,petrol,,N4
滑る,すべる,"to slide,to slip",,N4
下着,したぎ,underwear,,N4
準備,じゅんび,to prepare,,N4
リポート,リポート,report,,N4
世話,せわ,to look after,,N4
すっかり,すっかり,completely,,N4
間に合う,まにあう,to be in time for,,N4
治る,なおる,"to be cured,to heal",,N4
展覧会,てんらんかい,exhibition,,N4
このあいだ,このあいだ,"the other day,recently",,N4
下宿,げしゅく,lodging,,N4
細かい,こまかい,"small, fine",,N4
壁,かべ,wall,,N4
下る,さがる,"to get down,to descend",,N4
降り出す,ふりだす,to start to rain,,N4
空く,���く,to become empty,,N4
筈,はず,it should be so,,N4
訪ねる,たずねる,to visit,,N4
漬ける,つける,"to soak,to pickle",,N4
親切,しんせつ,kindness,,N4
神社,じんじゃ,Shinto shrine,,N4
役に立つ,やくにたつ,to be helpful,,N4
そんな,そんな,that sort of,,N4
騒ぐ,さわぐ,"to make noise,to be excited",,N4
米,こめ,uncooked rice,,N4
掏摸,すり,pickpocket,,N4
足す,たす,to add a number,,N4
支度,したく,to prepare,,N4
ソフト,ソフト,soft,,N4
運ぶ,はこぶ,to transport,,N4
市民,しみん,citizen,,N4
場合,ばあい,situation,,N4
地理,ちり,geography,,N4
恥ずかしい,はずかしい,embarrassed,,N4
さ来月,さらいげつ,the month after next,,N4
海岸,かいがん,coast,,N4
優しい,やさしい,kind,,N4
コンサート,コンサート,concert,,N4
夢,ゆめ,dream,,N4
あ,あ,Ah,,N4
片付ける,かたづける,to tidy up,,N4
別れる,わかれる,to separate,,N4
男性,だんせい,male,,N4
泳ぎ方,およぎかた,way of swimming,,N4
漫画,まんが,comic,,N4
番組,ばんぐみ,television or radio program,,N4
飛行場,ひこうじょう,airport,,N4
品物,しなもの,goods,,N4
部長,ぶちょう,head of a section,,N4
心配,しんぱい,to worry,,N4
最後,さいご,"last,end",,N4
祖母,そぼ,grandmother,,N4
虫,むし,insect,,N4
裏,うら,reverse side,,N4
交通,こうつう,"traffic,transportation",,N4
文化,ぶんか,culture,,N4
伝える,つたえる,to report,,N4
最初,さいしょ,"beginning,first",,N4
祖母,そぼ,grandmother,,N4
虫,むし,insect,,N4
裏,うら,reverse side,,N4
交通,こうつう,"traffic,transportation",,N4
文化,ぶんか,culture,,N4
伝える,つたえる,to report,,N4
最初,さいしょ,"beginning,first",,N4
取り替える,とりかえる,to exchange,,N4
鏡,かがみ,mirror,,N4
盗む,ぬすむ,to steal,,N4
真ん中,まんなか,middle,,N4
直す,なおす,"to fix,to repair",,N4
けれども,けれども,however,,N4
看護婦,かんごふ,female nurse,,N4
一度,いちど,once,,N4
悲しい,かなしい,sad,,N4
事務所,じむしょ,office,,N4
金持ち,かねもち,rich man,,N4
住所,じゅうしょ,"an address,a residence",,N4
踏む,ふむ,to step on,,N4
無くなる,なくなる,"to disappear,to get lost",,N4
島,しま,island,,N4
雲,くも,cloud,,N4
倒れる,たおれる,to break down,,N4
会話,かいわ,conversation,,N4
なさる,なさる,(respectful) to do,,N4
彼女,かのじょ,"she,girlfriend",,N4
飾る,かざる,to decorate,,N4
上る,あがる,to rise,,N4
絹,きぬ,silk,,N4
合う,あう,to match,,N4
引き出し,ひきだし,"drawer,drawing out",,N4
続く,つづく,to be continued,,N4
見つかる,みつかる,to be discovered,,N4
ベル,ベル,bell,,N4
道具,どうぐ,"tool,means",,N4
以内,いない,within,,N4
普通,ふつう,"usually, or a train that stops at every station",,N4
けれど,けれど,however,,N4
泣く,なく,to weep,,N4
もし,もし,if,,N4
コンピューター,コンピューター,computer,,N4
変える,かえる,to change,,N4
寝坊,ねぼう,sleeping in late,,N4
輸入,ゆにゅう,to import,,N4
そう,そう,really,,N4
呉れる,くれる,to give,,N4
格好,かっこう,appearance,,N4
適当,てきとう,suitability,,N4
引っ越す,ひっこす,to move house,,N4
招待,しょうたい,to invite,,N4
硬い,かたい,hard,,N4
パソコン,パソコン,personal computer,,N4
電灯,でんとう,electric light,,N4
くださる,くださる,(respectful) to give,,N4
汚れる,よごれる,to get dirty,,N4
承知,しょうち,to consent,,N4
パート,パート,part time,,N4
都,と,metropolitan,,N4
もらう,もらう,to receive,,N4
用事,ようじ,things to do,,N4
固い,かたい,hard,,N4
すばらしい,すばらしい,wonderful,,N4
場所,ばしょ,location,,N4
代わり,かわり,"substitute,alternate",,N4
出席,しゅっせき,to attend,,N4
腕,うで,arm,,N4
柔らかい,やわらかい,soft,,N4
もちろん,もちろん,of course,,N4
開く,ひらく,to open an event,,N4
首,くび,neck,,N4
君,くん,suffix for familiar young male,,N4
皆,みな,everybody,,N4
試合,しあい,"match,game",,N4
捕まえる,つかまえる,to seize,,N4
申し上げる,もうしあげる,"(humble) to say,to tell",,N4
ぜひ,ぜひ,without fail,,N4
押し入れ,おしいれ,closet,,N4
注意,ちゅうい,caution,,N4
アフリカ,アフリカ,Africa,,N4
やはり,やはり,"as I thought,absolutely",,N4
鳴る,なる,to sound,,N4
遠く,とおく,distant,,N4
予習,よしゅう,preparation for a lesson,,N4
髪,かみ,hair,,N4
息子,むすこ,(humble) son,,N4
痩せる,やせる,to become thin,,N4
指輪,ゆびわ,finger ring,,N4
止める,とめる,to stop something,,N4
意見,いけん,opinion,,N4
今夜,こんや,tonight,,N4
彼,かれ,"he,boyfriend",,N4
ごらんになる,ごらんになる,(respectful) to see,,N4
触る,さわる,to touch,,N4
割合,わりあい,"rate,ratio,percentage",,N4
引き出す,ひきだす,to withdraw,,N4
おもちゃ,おもちゃ,toy,,N4
出発,しゅっぱつ,to depart,,N4
見える,みえる,to be in sight,,N4
関係,かんけい,relationship,,N4
例えば,たとえば,for example,,N4
向かう,むかう,to face,,N4
ああ,ああ,like that,,N4
立てる,たてる,to stand something up,,N4
水道,すいどう,water supply,,N4
辞典,じてん,dictionary,,N4
遊び,あそび,play,,N4
光,ひかり,light,,N4
空気,くうき,"air,atmosphere",,N4
戦争,せんそう,war,,N4
食料品,しょくりょうひん,groceries,,N4
かまう,かまう,to mind,,N4
喜ぶ,よろこぶ,to be delighted,,N4
